timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio
1769160625.598291,38,79,0.1168,8,43.92,5.13
1769160625.6389449,1,0,0.8536,270,0.78,1.65
1769160625.6393495,34,0,0.1526,24,0.15,0.94
1769160625.6396637,38,79,0.1168,9,3.95,5.04
1769160625.6765969,1,0,0.8536,271,0.28,1.65
1769160625.6769795,34,0,0.1526,25,0.05,0.94
1769160625.6772213,38,79,0.1168,10,1.16,5.01
1769160625.76491,1,0,0.8223,272,18.79,1.76
1769160625.7652895,34,0,0.133,26,16.34,1.12
1769160625.8041224,1,0,0.8223,273,1.87,1.77
1769160625.8045545,34,0,0.133,27,1.46,1.14
1769160625.8886971,1,0,0.8191,274,3.62,1.79
1769160625.8891032,34,0,0.1297,28,18.91,1.25
1769160625.9255996,1,0,0.8191,275,0.25,1.79
1769160625.925961,34,0,0.1297,29,1.47,1.26
1769160626.0115838,1,0,0.829,276,0.93,1.79
1769160626.0120766,34,0,0.2119,30,6.11,1.49
1769160626.012388,42,76,0.3687,0,0.0,0.9
1769160626.0126271,43,67,0.3503,0,0.0,0.83
1769160626.0528603,1,0,0.829,277,0.15,1.79
1769160626.0532882,34,0,0.2119,31,0.68,1.5
1769160626.0535772,42,76,0.3687,1,0.0,0.9
1769160626.0538476,43,67,0.3503,1,0.0,0.83
1769160626.1317184,1,0,0.83,278,3.73,1.8
1769160626.1321237,34,0,0.2185,32,3.36,1.5
1769160626.1324704,42,76,0.3953,2,5.88,0.84
1769160626.132767,43,67,0.3268,2,7.04,0.81
1769160626.1711736,1,0,0.83,279,0.5,1.8
1769160626.171564,34,0,0.2185,33,0.44,1.49
1769160626.1719778,42,76,0.3953,3,0.29,0.83
1769160626.1723084,43,67,0.3268,3,0.37,0.81
1769160626.2101853,1,0,0.83,280,0.21,1.8
1769160626.2105935,34,0,0.2185,34,0.18,1.49
1769160626.2109313,42,76,0.3953,4,0.04,0.83
1769160626.2112598,43,67,0.3268,4,0.05,0.81
1769160626.2493784,1,0,0.83,281,0.1,1.8
1769160626.2497563,34,0,0.2185,35,0.1,1.49
1769160626.2500196,42,76,0.3953,5,0.04,0.83
1769160626.2503808,43,67,0.3268,5,0.05,0.81
1769160626.3338332,1,0,0.8449,282,0.62,1.8
1769160626.3342593,34,0,0.2045,36,4.26,1.34
1769160626.334591,42,79,0.4168,6,10.31,0.81
1769160626.3348618,43,76,0.3943,6,11.13,0.81
1769160626.3719475,1,0,0.8449,283,0.06,1.8
1769160626.3723314,34,0,0.2045,37,0.47,1.32
1769160626.372606,42,79,0.4168,7,0.93,0.8
1769160626.3728497,43,76,0.3943,7,1.06,0.81
1769160626.4094236,1,0,0.8449,284,0.03,1.8
1769160626.4098146,34,0,0.2045,38,0.19,1.32
1769160626.4102113,42,79,0.4168,8,0.29,0.8
1769160626.4104874,43,76,0.3943,8,0.33,0.81
