timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio,is_real
1770809567.9021852,1,0,0.9168,428,0.78,1.47,1
1770809567.9022298,3,56,0.8875,428,2.31,0.72,1
1770809567.956661,1,0,0.8904,430,2.26,1.48,1
1770809567.9567115,3,56,0.8405,430,2.51,0.69,1
1770809568.0057676,1,0,0.9144,432,1.6,1.49,1
1770809568.005819,3,56,0.8525,432,0.4,0.71,1
1770809568.0538254,1,0,0.8927,434,0.57,1.47,1
1770809568.0538757,3,56,0.8068,434,0.34,0.7,1
1770809568.1084485,1,0,0.9037,436,2.59,1.47,1
1770809568.1084993,3,56,0.8598,436,1.84,0.71,1
1770809568.1560645,1,0,0.8919,438,2.4,1.47,1
1770809568.1561062,3,56,0.7908,438,4.14,0.68,1
1770809568.2259614,1,0,0.9055,440,0.12,1.48,1
1770809568.2260077,3,56,0.8129,440,0.57,0.68,1
1770809568.279895,1,0,0.9073,442,0.83,1.47,1
1770809568.2799494,3,56,0.7481,442,0.51,0.68,1
1770809568.3352025,1,0,0.9073,444,0.3,1.47,1
1770809568.3352616,3,56,0.7481,444,0.21,0.68,1
1770809568.3852477,1,0,0.8972,446,1.47,1.48,1
1770809568.385296,3,56,0.7756,446,0.04,0.68,1
1770809568.438159,1,0,0.8822,448,1.99,1.48,1
1770809568.4382107,3,56,0.8455,448,1.72,0.71,1
1770809568.4855196,1,0,0.8847,450,0.45,1.48,1
1770809568.485573,3,56,0.8496,450,0.79,0.7,1
1770809568.5341356,1,0,0.8761,452,0.84,1.48,1
1770809568.534176,3,56,0.769,452,1.03,0.69,1
1770809568.5817492,1,0,0.8688,454,2.1,1.48,1
1770809568.5817933,3,56,0.7514,454,0.39,0.69,1
1770809568.6305337,1,0,0.8498,456,3.25,1.48,1
1770809568.6305754,3,56,0.8589,456,0.61,0.69,1
1770809568.6849203,1,0,0.8817,458,1.63,1.48,1
1770809568.6849654,3,56,0.8048,458,1.28,0.7,1
1770809568.7355716,1,0,0.8651,460,0.59,1.48,1
1770809568.7356167,3,56,0.7932,460,0.53,0.7,1
1770809568.7833512,1,0,0.8611,462,4.52,1.46,1
1770809568.7833924,3,56,0.8215,462,1.35,0.71,1
1770809568.8315926,1,0,0.8744,464,0.25,1.47,1
